id,content,sentiment
1,سرعه التوصيل والمنتج ممتاز,P
2,ممتااز ورووعة,P
3,حلو شركة huawei,P
4,منتج جيد انيق في التصميم ،،،نشكر سوق كذلك لسرعة التوصيل للمنتج في وقت قياسي,P
5,جهاز ممتاز وعملي السعر رائع,P
6,جوال رائع بمواصفات عاليه و تصميم جميل و بسعر معقول,P
7,الهاتف جميل ومميزاته رائعة جداً وسعره مناسب,P
8,الكاميره الخلفيه غير واضحة الصوره,N
9,انصح بالشراء ، افضل من المتاجر الاخرى,P
10,افضل جهاز في الوقت الحالي غني عن التعريف واشكر البايع على سرعه التوصيل وعليى العرض الجميل,P
11,رائع,P
12,شكرا لكم والمنتج في غاية الروعة,P
13,اقل من سعر السوق,P
14,المنتج سيئ للغاية وغير عملي ولا يمكن الاستمتاع به لكثرة التعليق والبطئ الشديدين، بالإضافة لعدم التجاوب مع إدخال الأوامر، وعلاوة على ذلك شبكة الجوال تفصل باستمرار,N
15,موصفات ممتازة مقارنة بالسعر الرخيص شكرا سوق دات كم لتوفير الجوال لنا,P
16,جيد بالنسبة للفئة السعرية,P
17,المنتج حلو وسعره مناسب مع جودته,P
18,رأيع أنصح باغتنامه خاصة ان سعره مناسب مقارنة مع مواصفاته الممتازة بس اتمني توفير الاكسسوارات الخاصة خاصة زجاج الحماية الامامية,P
19,بطء في الاستجابة,N
20,الجهز لايعمل تهنيج شديد,N
21,ممتاز جدا,P
22,الجوال عملي و المواصفات رائعة وسعر مناسب لكن لم اجد له كفر حماية,P
23,بصراحة موبايل ممتاز ولابد من تحميل التحدثات بعد التشغيل والبطارية قوية والكاميرا جيده وخامته تتميز بالمتانة والحجم مناسب للجيب والافضل هو الموقع المحترم الملتزم بالتسليم فى الميعاد وقبله مشكورين,P
24,ممتاز خاالص وانصح أي حد بشراؤه,P
25,جهاز ممتاز خدمة التوصيل سريعه 24 ساعه شكرا سوق . كوم,P
26,تمنيت اني ما اشتريته,N
27,أسوأ موبايل في مصر,N
28,بيهنج,N
29,الجودة ممتازة والسعر لايمكن ان اجده في اي مكان اخر,P
30,تسرب و تتمزق الحفاظة عالجوانب,N
31,مقبول جودة وسعرا,P
32,حفايظ مره روعه لا أطفالي مناسبه,P
33,ماتلتصق,N
34,فاين الافضل على الاطلاق,P
35,خامه ممتازة ومريح جدا للطفل,P
36,لي فترة استخدمه ولا ارى فرق,N
